code,sex,family name,first name,date of birth,activity,pol party
PA1008,male,David,Alain,1949-06-02,Cadres,PS
PA1012,male,de la Verpillière,Charles,1954-05-31,Cadres,REP
PA1029,male,Deflesselles,Bernard,1953-10-16,Cadres,REP
PA1198,female,Dumont,Laurence,1958-06-02,Cadres,PS
PA1206,male,Dupont-Aignan,Nicolas,1961-03-07,Cadres,ND
PA1276,male,Fanget,Michel,1950-05-03,Cadres,MODEM
PA1327,male,Forissier,Nicolas,1961-02-17,Entrepreneurs,REP
PA1592,male,Habib,David,1961-03-16,Cadres,PS
PA1630,male,Herbillon,Michel,1951-03-06,Cadres,REP
PA1695,male,Jacob,Christian,1959-12-04,Agriculteurs,REP
PA1809,male,Lambert,Jérôme,1957-06-07,Cadres,PS
PA1838,male,Lassalle,Jean,1955-05-03,Ouvriers,RPS
PA1874,male,Le Fur,Marc,1956-11-28,Cadres,REP
PA2150,male,Mélenchon,Jean-Luc,1951-08-19,Cadres,FI
PA2155,male,Menuel,Gérard,1952-05-07,Agriculteurs,REP
PA223837,male,Brochand,Bernard,1938-06-05,Retraités,REP
PA2377,male,Perrut,Bernard,1957-01-24,Cadres,REP
PA2449,male,Pont,Jean-Pierre,1950-05-09,Cadres,LAREM
PA2492,male,Quentin,Didier,1946-12-23,Cadres,REP
PA2529,male,Reitzer,Jean-Luc,1951-12-29,Cadres,REP
PA266776,male,Reiss,Frédéric,1949-11-12,Cadres,REP
PA266788,male,Morel-À-L'Huissier,Pierre,1958-12-21,Cadres,UDRL
PA266793,male,Bony,Jean-Yves,1955-03-11,Agriculteurs,REP
PA266797,male,Gosselin,Philippe,1966-10-23,Cadres,REP
PA266808,male,Rolland,Vincent,1970-02-01,Cadres,REP
PA267042,male,Favennec-Bécot,Yannick,1958-08-12,Cadres,UDRL
PA267200,male,Huyghe,Sébastien,1969-10-25,Cadres,REP
PA267204,male,Sermier,Jean-Marie,1961-03-05,Agriculteurs,REP
PA267260,female,Poletti,Bérengère,1959-10-14,Prof. inter.,REP
PA267289,male,Door,Jean-Pierre,1942-04-01,Cadres,REP
PA267306,male,Chassaigne,André,1950-07-02,Cadres,PCF
PA267318,male,Grelier,Jean-Carles,1966-03-15,Cadres,REP
PA267324,male,Gaultier,Jean-Jacques,1963-07-13,Cadres,REP
PA267330,male,Zumkeller,Michel,1966-01-21,Cadres,UDRL
PA267337,female,Bouchet,Claire,1954-01-09,Employés,LAREM
PA267355,male,Herth,Antoine,1963-02-14,Agriculteurs,MODEM
PA267378,female,Levy,Geneviève,1948-02-24,Cadres,REP
PA267429,male,Cinieri,Dino,1955-07-09,Cadres,REP
PA267440,male,Diard,Éric,1965-07-21,Cadres,REP
PA267450,male,Delatte,Rémi,1956-06-09,Agriculteurs,REP
PA267527,male,Saddier,Martial,1969-10-15,Retraités,REP
PA267735,male,de Ganay,Claude,1953-09-05,Non déclaré,REP
PA267766,male,Bricout,Guy,1944-02-18,Retraités,UDRL
PA267780,female,Firmin Le Bodo,Agnès,1968-11-20,Cadres,MODEM
PA267785,male,Larrivé,Guillaume,1977-01-24,Cadres,REP
PA267794,female,Tabarot,Michèle,1962-10-13,Entrepreneurs,REP
PA267901,male,Kamardine,Mansour,1959-03-23,Cadres,REP
PA268019,male,Lagarde,Jean-Christophe,1967-10-24,Cadres,UDRL
PA2796,male,Teissier,Guy,1945-04-04,Cadres,REP
PA2828,male,Tourret,Alain,1947-12-25,Cadres,LAREM
PA2952,male,Warsmann,Jean-Luc,1965-10-22,Non déclaré,REP
PA2960,male,Woerth,Éric,1956-01-29,Cadres,REP
PA330008,male,Breton,Xavier,1962-11-25,Cadres,REP
PA330240,male,Ciotti,Éric,1965-09-28,Non déclaré,REP
PA330788,male,Reynès,Bernard,1953-10-18,Cadres,REP
PA330909,male,Descoeur,Vincent,1962-12-13,Cadres,REP
PA331582,male,Vigier,Philippe,1958-02-03,Cadres,UDRL
PA331835,female,Iborra,Monique,1945-03-08,Retraités,LAREM
PA332228,male,Benoit,Thierry,1966-09-13,Cadres,UDRL
PA332523,female,Dalloz,Marie-Christine,1958-01-10,Non déclaré,REP
PA332614,male,Juanico,Régis,1972-02-05,Cadres,EELV
PA332747,male,de Rugy,François,1973-12-06,Cadres,LAREM
PA333285,male,Garot,Guillaume,1966-05-29,Cadres,PS
PA333421,male,Pancher,Bertrand,1958-06-05,Cadres,UDRL
PA333818,male,Hutin,Christian,1961-01-18,Cadres,PS
PA334116,female,Maquet,Jacqueline,1949-05-13,Cadres,LAREM
PA334768,male,Touraine,Jean-Louis,1945-10-08,Cadres,LAREM
PA335054,female,Karamanli,Marietta,1964-12-18,Cadres,PS
PA335612,male,Lecoq,Jean-Paul,1958-10-13,Prof. inter.,PCF
PA335999,female,Batho,Delphine,1973-03-23,Cadres,EELV
PA336175,female,Pinel,Sylvia,1977-09-28,Non déclaré,ND
PA336316,male,Bouchet,Jean-Claude,1957-05-02,Entrepreneurs,REP
PA336439,male,Clément,Jean-Michel,1954-10-31,Cadres,RPS
PA337483,male,Letchimy,Serge,1953-01-13,Cadres,ND
PA340343,male,Saulignac,Hervé,1970-11-06,Cadres,PS
PA340357,female,Victory,Michèle,1958-10-28,Prof. inter.,PS
PA342196,female,Rouaux,Claudia,1963-10-13,Cadres,PS
PA342240,male,Bourgeaux,Jean-Luc,1963-04-10,Agriculteurs,REP
PA342415,female,Battistel,Marie-Noëlle,1956-08-20,Cadres,PS
PA342601,male,Brindeau,Pascal,1974-06-20,Cadres,UDRL
PA342935,female,Dubois,Marianne,1957-12-17,Non déclaré,REP
PA343493,male,Rouillard,Gwendal,1976-04-20,Cadres,LAREM
PA345722,female,Le Grip,Constance,1960-11-14,Cadres,REP
