code_organe,code_deputy
PO684932,PA1008
PO58974,PA1008
PO762788,PA1008
PO762788,PA1008
PO784682,PA1008
PO756933,PA1008
PO758835,PA1008
PO59047,PA1008
PO763264,PA1008
PO733187,PA1008
PO733487,PA1008
PO733187,PA1008
PO733472,PA1008
PO733627,PA1008
PO733487,PA1008
PO732939,PA1008
PO733342,PA1008
PO733567,PA1008
PO59047,PA1008
PO733342,PA1008
PO732939,PA1008
PO733567,PA1008
PO717460,PA1008
PO710396,PA1012
PO784318,PA1012
PO766497,PA1012
PO733217,PA1012
PO717436,PA1012
PO730934,PA1012
PO766497,PA1012
PO59046,PA1012
PO746982,PA1012
PO746957,PA1012
PO746669,PA1012
PO763264,PA1012
PO746957,PA1012
PO733703,PA1012
PO732984,PA1012
PO733137,PA1012
PO733703,PA1012
PO733302,PA1012
PO59046,PA1012
PO746982,PA1012
PO717460,PA1012
PO415287,PA1029
PO710396,PA1029
PO418755,PA1029
PO780850,PA1029
PO783302,PA1029
PO783302,PA1029
PO415287,PA1029
PO730934,PA1029
PO59047,PA1029
PO763264,PA1029
PO746977,PA1029
PO747200,PA1029
PO733057,PA1029
PO733567,PA1029
PO733137,PA1029
PO733382,PA1029
PO733577,PA1029
PO733517,PA1029
PO733137,PA1029
PO746977,PA1029
PO733057,PA1029
PO717460,PA1029
PO684932,PA1198
PO206064,PA1198
PO201115,PA1198
PO763346,PA1198
PO717436,PA1198
PO758835,PA1198
PO59047,PA1198
PO747072,PA1198
PO747261,PA1198
PO747140,PA1198
PO747215,PA1198
PO747140,PA1198
PO746748,PA1198
PO733327,PA1198
PO733432,PA1198
PO733062,PA1198
PO733187,PA1198
PO732974,PA1198
PO733292,PA1198
PO733512,PA1198
PO733562,PA1198
PO733167,PA1198
PO733327,PA1198
PO733502,PA1198
PO733532,PA1198
PO733432,PA1198
PO732984,PA1198
PO732944,PA1198
PO733232,PA1198
PO733452,PA1198
PO733557,PA1198
PO733347,PA1198
PO733652,PA1198
PO733562,PA1198
PO733187,PA1198
PO733557,PA1198
PO733512,PA1198
PO732984,PA1198
PO733452,PA1198
PO733652,PA1198
PO733292,PA1198
PO733167,PA1198
PO733232,PA1198
PO717460,PA1198
PO710611,PA1206
PO733622,PA1206
PO768375,PA1206
PO768375,PA1206
PO59047,PA1206
PO746735,PA1206
PO723569,PA1206
PO733412,PA1206
PO733072,PA1206
PO733597,PA1206
PO717460,PA1206
PO684938,PA1276
PO206064,PA1276
PO733217,PA1276
PO733622,PA1276
PO770077,PA1276
PO770077,PA1276
PO717436,PA1276
PO763346,PA1276
PO774834,PA1276
PO59047,PA1276
PO733217,PA1276
PO763239,PA1276
PO763239,PA1276
PO747195,PA1276
PO733472,PA1276
PO733057,PA1276
PO733342,PA1276
PO732939,PA1276
PO747195,PA1276
PO733472,PA1276
PO717460,PA1276
PO710396,PA1327
PO206064,PA1327
PO692699,PA1327
PO730934,PA1327
PO59047,PA1327
PO746894,PA1327
PO746669,PA1327
PO747084,PA1327
PO746880,PA1327
PO746644,PA1327
PO746618,PA1327
PO746899,PA1327
PO747276,PA1327
PO746894,PA1327
PO746982,PA1327
PO746689,PA1327
PO763254,PA1327
PO747220,PA1327
PO746930,PA1327
PO747084,PA1327
PO746987,PA1327
PO746880,PA1327
PO733672,PA1327
PO732984,PA1327
PO733072,PA1327
PO733372,PA1327
PO733247,PA1327
PO733492,PA1327
PO732984,PA1327
PO733567,PA1327
PO733652,PA1327
PO733683,PA1327
PO733372,PA1327
PO733202,PA1327
PO732974,PA1327
PO732949,PA1327
PO733037,PA1327
PO733097,PA1327
PO733397,PA1327
PO733117,PA1327
PO733342,PA1327
PO733497,PA1327
PO733597,PA1327
PO733247,PA1327
PO733672,PA1327
PO733397,PA1327
PO733492,PA1327
PO733497,PA1327
PO732974,PA1327
PO747220,PA1327
PO746644,PA1327
PO733037,PA1327
PO732949,PA1327
PO733097,PA1327
PO717460,PA1327
PO725343,PA1592
PO732775,PA1592
PO732775,PA1592
PO732748,PA1592
PO684932,PA1592
PO734384,PA1592
PO779099,PA1592
PO733622,PA1592
PO763346,PA1592
PO734384,PA1592
PO758835,PA1592
PO59046,PA1592
PO746649,PA1592
PO747235,PA1592
PO746925,PA1592
PO747266,PA1592
PO763249,PA1592
PO763264,PA1592
PO746654,PA1592
PO746624,PA1592
PO747057,PA1592
PO746689,PA1592
PO733382,PA1592
PO733642,PA1592
PO733307,PA1592
PO733627,PA1592
PO733642,PA1592
PO746624,PA1592
PO733382,PA1592
PO717460,PA1592
PO717460,PA1592
PO415287,PA1630
PO710396,PA1630
PO201115,PA1630
PO743840,PA1630
PO733217,PA1630
PO781746,PA1630
PO733622,PA1630
PO781746,PA1630
PO744312,PA1630
PO744312,PA1630
PO784682,PA1630
PO730934,PA1630
PO59047,PA1630
PO746684,PA1630
PO746644,PA1630
PO747104,PA1630
PO746987,PA1630
PO746982,PA1630
PO746684,PA1630
PO763244,PA1630
PO747266,PA1630
PO733412,PA1630
PO733607,PA1630
PO733678,PA1630
PO733117,PA1630
PO733632,PA1630
PO733182,PA1630
PO733077,PA1630
PO733202,PA1630
PO733307,PA1630
PO733317,PA1630
PO733342,PA1630
PO733497,PA1630
PO733352,PA1630
PO733412,PA1630
PO733262,PA1630
PO733427,PA1630
PO733302,PA1630
PO733382,PA1630
PO733427,PA1630
PO733607,PA1630
PO733382,PA1630
PO733442,PA1630
PO732939,PA1630
PO733492,PA1630
PO733032,PA1630
PO733472,PA1630
PO733517,PA1630
PO732974,PA1630
PO733487,PA1630
PO733567,PA1630
PO733032,PA1630
PO733097,PA1630
PO733597,PA1630
PO733157,PA1630
PO733057,PA1630
PO733107,PA1630
PO733417,PA1630
PO733627,PA1630
PO733157,PA1630
PO733672,PA1630
PO733187,PA1630
PO733302,PA1630
PO733117,PA1630
PO733262,PA1630
PO733312,PA1630
PO733077,PA1630
PO733187,PA1630
PO733322,PA1630
PO733497,PA1630
PO733202,PA1630
PO733347,PA1630
PO733397,PA1630
PO733107,PA1630
PO733372,PA1630
PO733417,PA1630
PO733437,PA1630
PO733472,PA1630
PO732934,PA1630
PO733452,PA1630
PO733452,PA1630
PO733492,PA1630
PO732944,PA1630
PO733567,PA1630
PO733482,PA1630
PO733522,PA1630
PO732984,PA1630
PO733072,PA1630
PO733307,PA1630
PO733577,PA1630
PO733042,PA1630
PO733597,PA1630
PO733102,PA1630
PO59047,PA1630
PO763244,PA1630
PO733042,PA1630
PO733372,PA1630
PO733577,PA1630
PO733072,PA1630
PO733342,PA1630
PO732974,PA1630
PO717460,PA1630
PO734384,PA1695
PO710396,PA1695
PO730934,PA1695
PO419610,PA1695
PO717460,PA1695
PO415287,PA1809
PO684932,PA1809
PO783852,PA1809
PO201115,PA1809
PO304272,PA1809
PO58974,PA1809
PO733047,PA1809
PO770077,PA1809
PO770077,PA1809
PO733462,PA1809
PO733006,PA1809
PO733217,PA1809
PO733622,PA1809
PO743166,PA1809
PO763346,PA1809
PO717436,PA1809
PO783852,PA1809
PO758835,PA1809
PO304272,PA1809
PO733047,PA1809
PO733217,PA1809
PO733006,PA1809
PO59047,PA1809
PO763264,PA1809
PO746674,PA1809
PO746679,PA1809
PO747256,PA1809
PO747185,PA1809
PO747160,PA1809
PO746689,PA1809
PO746791,PA1809
PO746880,PA1809
PO746763,PA1809
PO746977,PA1809
PO746935,PA1809
PO746930,PA1809
PO746987,PA1809
PO746669,PA1809
PO746880,PA1809
PO746982,PA1809
PO746753,PA1809
PO746977,PA1809
PO746639,PA1809
PO747160,PA1809
PO733297,PA1809
PO733342,PA1809
PO733452,PA1809
PO733372,PA1809
PO733022,PA1809
PO733412,PA1809
PO733497,PA1809
PO733662,PA1809
PO733492,PA1809
PO733522,PA1809
PO733567,PA1809
PO733683,PA1809
PO733597,PA1809
PO733632,PA1809
PO733032,PA1809
PO732919,PA1809
PO733097,PA1809
PO733127,PA1809
PO733187,PA1809
PO733307,PA1809
PO733247,PA1809
PO733322,PA1809
PO733352,PA1809
PO733362,PA1809
PO733452,PA1809
PO733397,PA1809
PO733632,PA1809
PO733472,PA1809
PO733502,PA1809
PO733537,PA1809
PO733617,PA1809
PO733678,PA1809
PO733072,PA1809
PO732949,PA1809
PO733117,PA1809
PO733157,PA1809
PO733202,PA1809
PO733317,PA1809
PO733587,PA1809
PO746639,PA1809
PO747256,PA1809
PO733472,PA1809
PO733307,PA1809
PO732919,PA1809
PO733352,PA1809
PO733492,PA1809
PO733678,PA1809
PO733412,PA1809
PO733157,PA1809
PO733342,PA1809
PO733127,PA1809
PO732949,PA1809
PO733372,PA1809
PO733247,PA1809
PO733567,PA1809
PO733502,PA1809
PO733597,PA1809
PO733297,PA1809
PO733032,PA1809
PO733117,PA1809
PO733522,PA1809
PO733397,PA1809
PO733587,PA1809
PO717460,PA1809
PO783852,PA1838
PO744858,PA1838
PO743840,PA1838
PO733217,PA1838
PO733006,PA1838
PO733622,PA1838
PO743166,PA1838
PO733462,PA1838
PO733047,PA1838
PO759900,PA1838
PO59046,PA1838
PO763264,PA1838
PO763244,PA1838
PO763234,PA1838
PO747062,PA1838
PO733027,PA1838
PO733587,PA1838
PO733607,PA1838
PO733422,PA1838
PO733042,PA1838
PO733227,PA1838
PO733247,PA1838
PO733597,PA1838
PO733617,PA1838
PO733432,PA1838
PO733452,PA1838
PO733057,PA1838
PO733237,PA1838
PO733262,PA1838
PO733632,PA1838
PO733442,PA1838
PO733467,PA1838
PO733067,PA1838
PO733087,PA1838
PO733272,PA1838
PO733642,PA1838
PO733662,PA1838
PO733477,PA1838
PO733077,PA1838
PO733097,PA1838
PO732919,PA1838
PO733282,PA1838
PO733302,PA1838
PO733652,PA1838
PO733672,PA1838
PO733487,PA1838
PO733507,PA1838
PO733107,PA1838
PO732929,PA1838
PO733292,PA1838
PO733312,PA1838
PO733683,PA1838
PO733497,PA1838
PO733517,PA1838
PO733117,PA1838
PO733137,PA1838
PO732939,PA1838
PO733322,PA1838
PO733698,PA1838
PO733527,PA1838
PO733127,PA1838
PO733147,PA1838
PO732949,PA1838
PO732969,PA1838
PO733332,PA1838
PO733352,PA1838
PO733537,PA1838
PO733157,PA1838
PO732959,PA1838
PO732979,PA1838
PO733342,PA1838
PO733362,PA1838
PO733547,PA1838
PO733167,PA1838
PO732990,PA1838
PO733562,PA1838
PO733372,PA1838
PO733177,PA1838
PO733197,PA1838
PO733011,PA1838
PO733572,PA1838
PO733382,PA1838
PO733407,PA1838
PO733207,PA1838
PO733022,PA1838
PO733397,PA1838
PO733417,PA1838
PO733037,PA1838
PO733222,PA1838
PO733242,PA1838
PO733592,PA1838
PO733612,PA1838
PO733427,PA1838
PO733052,PA1838
PO733232,PA1838
PO733252,PA1838
PO733602,PA1838
PO733627,PA1838
PO733437,PA1838
PO733457,PA1838
PO733062,PA1838
PO733267,PA1838
PO733637,PA1838
PO733447,PA1838
PO733472,PA1838
PO733072,PA1838
PO733092,PA1838
PO733277,PA1838
PO733647,PA1838
PO733667,PA1838
PO733482,PA1838
PO733082,PA1838
PO733102,PA1838
PO732924,PA1838
PO733287,PA1838
PO733307,PA1838
PO733657,PA1838
PO733678,PA1838
PO733492,PA1838
PO733512,PA1838
PO733112,PA1838
PO732934,PA1838
PO733317,PA1838
PO733693,PA1838
PO733502,PA1838
PO733522,PA1838
PO733122,PA1838
PO733142,PA1838
PO732944,PA1838
PO733327,PA1838
PO733347,PA1838
PO733703,PA1838
PO733532,PA1838
PO733132,PA1838
PO733152,PA1838
PO732954,PA1838
PO732974,PA1838
PO733337,PA1838
PO733357,PA1838
PO733542,PA1838
PO733162,PA1838
PO732964,PA1838
PO732984,PA1838
PO733557,PA1838
PO733367,PA1838
PO733552,PA1838
PO733172,PA1838
PO733192,PA1838
PO733001,PA1838
PO733567,PA1838
PO733377,PA1838
PO733402,PA1838
PO733182,PA1838
PO733202,PA1838
PO733017,PA1838
PO733577,PA1838
