code,type,name,abreviated_name
PO191887,ORGEXTPARL,Commission nationale pour l'élimination des mines antipersonnel,160
PO201115,API,Section française de l'Assemblée parlementaire de la francophonie (A.P.F.),APF
PO201269,DELEG,Délégation de l'Assemblée nationale aux droits des femmes et à l'égalité des chances entre les hommes et les femmes,EGA
PO201361,ORGEXTPARL,Comité local d'information et de suivi du laboratoire souterrain de Bure,161
PO205834,ORGEXTPARL,Conseil de surveillance du Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie,162
PO206064,API,Groupe français de l'Union interparlementaire (U.I.P.),UIP
PO211490,COMSENAT,"Commission de la culture, de l'éducation et de la communication",AFCLC
PO211491,COMSENAT,"Commission des affaires étrangères, de la défense et des forces armées",ETRDC
PO211493,COMSENAT,Commission des affaires sociales,SOCIC
PO211494,COMSENAT,Commission des finances,FINCC
PO211495,COMSENAT,"Commission des lois constitutionnelles, de législation, du suffrage universel, du Règlement et d'administration générale",LOISC
PO215413,ORGEXTPARL,Conseil d'orientation des retraites,164
PO218793,ORGEXTPARL,Conseil d'administration de la société France Télévisions,167
PO218801,ORGEXTPARL,Conseil supérieur de la réserve militaire,168
PO218806,ORGEXTPARL,Comité national de l'initiative française pour les récifs coralliens,169
PO221678,ORGEXTPARL,Conseil d'orientation stratégique du Fonds de solidarité prioritaire,17
PO223397,ORGEXTPARL,Conseil d'orientation pour la prévention des risques naturels majeurs,172
PO226838,ORGEXTPARL,Commission de suivi de la détention provisoire,175
PO226840,ORGEXTPARL,Conseil national de la sécurité routière,176
PO229333,ORGEXTPARL,Commission d'examen des pratiques commerciales,179
PO229652,ORGEXTPARL,Conseil de surveillance du Fonds de réserve pour les retraites,180
PO271850,COMNL,Commission chargée de l'application de l'article 26 de la Constitution,IMMU
PO271860,COMNL,Commission spéciale chargée de vérifier et d'apurer les comptes,COMP
PO273589,OFFPAR,Office parlementaire d'évaluation des choix scientifiques et technologiques,OTS
PO273730,ORGEXTPARL,Observatoire de la sécurité des moyens de paiement,187
PO275380,ORGEXTPARL,Haut conseil des musées de France,186
PO286005,GROUPESENAT,Groupe Les Républicains,UMPPO
PO288374,ORGEXTPARL,Conseil national consultatif des personnes handicapées,190
PO294795,ORGEXTPARL,Observatoire national du service public de l'électricité et du gaz,193
PO296218,ORGEXTPARL,Conseil d'administration du Fonds pour le développement de l'intermodalité dans les transports,189
PO296224,ORGEXTPARL,Haut Conseil pour l'avenir de l'Assurance maladie,194
PO303479,ORGEXTPARL,Comité consultatif du secteur financier,200
PO303484,ORGEXTPARL,Comité consultatif de la législation et de la réglementation financières,201
PO304272,API,Délégation française à l'Assemblée parlementaire du Conseil de l'Europe,CEUR
PO307788,ORGEXTPARL,Conseil d'orientation de l'Agence de la biomédecine,199
