code,date,type,titre,demandeur,nb votants,requis,pour,contre,abstentions,demandeur REP,demandeur LAREM,demandeur FI,demandeur PS,demandeur EELV,demandeur MODEM,demandeur ND,demandeur RPS,demandeur UDRL,demandeur PCF,demandeur CDP,demandeur GOV,demandeur COM SPE
VTANR5L15V1,2017-07-04,scrutin public solennel,"la declaration de politique generale du Gouvernement de M. Edouard Philippe (application de l'article 49, alinea premier, de la Constitution).",Conference des Presidents,566,219,370,67,129,0,0,0,0,0,0,0,0,0,0,1,0,0
VTANR5L15V10,2017-07-11,scrutin public ordinaire,l'amendement n° 446 de M. Vallaud à l'article premier du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Président du groupe ""Nouvelle Gauche""",227,114,26,200,1,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V100,2017-07-28,scrutin public ordinaire,l'amendement n° 223 de M. Aviragnet à l'article 5 du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Président du groupe ""Nouvelle Gauche""",139,61,46,74,19,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1000,2018-07-04,scrutin public ordinaire,l'amendement n° 11 de M. Bernalicis à l'article unique de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,"Président du groupe ""La France insoumise""",77,37,2,70,5,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1001,2018-07-04,scrutin public ordinaire,l'amendement n° 2 de M. Pauget à l'article unique de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,"Président du groupe ""Les Républicains""",80,41,19,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1002,2018-07-04,scrutin public ordinaire,l'article unique de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,"Président du groupe ""Les Républicains""",91,46,90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1003,2018-07-04,scrutin public ordinaire,l'ensemble de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,"Président du groupe ""La République en Marche""Président du groupe ""Les Républicains""",95,48,94,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1004,2018-07-05,scrutin public ordinaire,"la motion de rejet préalable, déposée par M. André Chassaigne, du projet de loi autorisant la ratification de l'accord de partenariat sur les relations et la coopération entre l'Union européenne et ses États membres d'une part, et la Nouvelle-Zélande, d'autre part (première lecture).","Président du groupe ""La République en Marche""",53,26,7,44,2,0,1,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1005,2018-07-05,scrutin public ordinaire,"l'article unique du projet de loi autorisant la ratification de l'accord de partenariat sur les relations et la coopération entre l'Union européenne et ses États membres d'une part, et la Nouvelle-Zélande, d'autre part (première lecture).","Président du groupe ""La République en Marche""",42,22,36,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1006,2018-07-05,scrutin public ordinaire,"l'article unique du projet de loi autorisant l'adhésion au protocole contre la fabrication et le trafic illicites d'armes à feu, de leurs pièces, éléments et munitions, additionnel à la convention des Nations unies contre la criminalité transnationale organisée, adoptés à New York le 31 mai 2001 (première lecture).","Président du groupe ""La République en Marche""Présidente du groupe ""Nouvelle Gauche""",41,21,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1007,2018-07-05,scrutin public ordinaire,l'amendement n° 68 de Mme Battistel et les amendements identiques suivants à l'article premier de la proposition de loi relative à la mise en oeuvre du transfert de compétences eau et assainissement aux communautés de communes et aux communautés d'agglomération (nouvelle lecture).,"Président du groupe ""de la Gauche démocrate et républicaine""",29,15,10,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1008,2018-07-10,scrutin public ordinaire,"la motion de rejet préalable, déposée par M. Christian Jacob, du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",271,133,91,174,6,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1009,2018-07-10,scrutin public ordinaire,"la motion de renvoi en commission, deposee par M. Christian Jacob, du projet de loi constitutionnelle pour une democratie plus representative, responsable et efficace (premiere lecture).","President du groupe ""Les Republicains""",253,127,96,156,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V101,2017-07-28,scrutin public ordinaire,l'amendement n° 259 de Mme Untermaier et les amendements identiques suivants après l'article 8 ter du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Président du groupe ""Nouvelle Gauche""",136,62,19,103,14,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1010,2018-07-11,scrutin public ordinaire,"l'amendement n° 1246 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",130,65,17,111,2,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1011,2018-07-11,scrutin public ordinaire,"l'amendement n° 1248 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",143,71,19,121,3,0,0,1,0,0,0,0,0,0,0,0,0,0
